age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price
3.0,25.0,40000.0,2.0,5.0,5.0,4.0,3.0,2250000.0
1.0,3.0,27000.0,1.0,0.0,5.0,0.0,6.0,440000.0
12.0,16.0,100000.0,2.0,5.0,5.0,0.0,5.0,280000.0
11.0,3.0,20000.0,1.0,9.0,0.0,0.0,3.0,160000.0
12.0,3.0,40000.0,1.0,2.0,5.0,7.0,3.0,350000.0
8.0,35.0,96000.0,2.0,5.0,5.0,0.0,3.0,2600000.0
3.0,8.0,99000.0,3.0,2.0,5.0,0.0,5.0,655000.0
6.0,12.0,104751.0,1.0,5.0,5.0,0.0,8.0,585000.0
2.0,12.0,11000.0,1.0,5.0,5.0,0.0,5.0,600000.0
6.0,8.0,68714.0,1.0,5.0,5.0,0.0,3.0,545000.0
6.0,13.0,66691.0,1.0,2.0,5.0,3.0,6.0,750400.0
2.0,2.0,70000.0,1.0,2.0,5.0,0.0,5.0,672000.0
7.0,8.0,61833.0,1.0,2.0,5.0,0.0,6.0,524000.0
15.0,8.0,140000.0,1.0,0.0,5.0,0.0,6.0,150000.0
12.0,2.0,80000.0,3.0,0.0,5.0,0.0,8.0,180000.0
2.0,7.0,30000.0,2.0,5.0,5.0,0.0,5.0,950000.0
5.0,17.0,42000.0,2.0,5.0,5.0,7.0,6.0,1900000.0
5.0,19.0,57151.0,2.0,5.0,7.0,0.0,3.0,1090000.0
4.0,19.0,170000.0,2.0,5.0,7.0,0.0,3.0,1300000.0
7.0,1.0,1020000.0,1.0,0.0,5.0,0.0,5.0,160000.0
11.0,7.0,137500.0,2.0,1.0,5.0,0.0,6.0,150000.0
17.0,2.0,120000.0,1.0,0.0,5.0,0.0,11.0,150000.0
3.0,3.0,54209.0,3.0,7.0,7.0,0.0,3.0,1140000.0
1.0,31.0,5000.0,9.0,2.0,5.0,7.0,8.0,9000000.0
5.0,34.0,38750.0,1.0,2.0,5.0,4.0,3.0,3400000.0
7.0,34.0,53157.0,2.0,5.0,5.0,7.0,3.0,3175000.0
12.0,13.0,100000.0,3.0,2.0,5.0,0.0,11.0,300000.0
10.0,19.0,120000.0,2.0,5.0,7.0,0.0,8.0,750000.0
4.0,14.0,28000.0,1.0,5.0,5.0,0.0,5.0,1185000.0
17.0,8.0,65000.0,1.0,0.0,5.0,0.0,6.0,250000.0
9.0,7.0,135000.0,2.0,0.0,5.0,0.0,6.0,260000.0
